CF dip peak lp ip
0 97.20920442400859 111.72805495604688 104.46862969002774 105.19025278027523
1 97.89267815142122 113.0642340281845 105.47845608980286 106.0864839298006
2 96.30668441051577 108.75739509858481 102.53203975455028 102.7743949336691
3 80.93287391339602 92.4099252044331 86.67139955891456 86.96485610935827
4 91.99814661186852 109.97561678894378 100.98688170040614 102.19681336841907
5 72.05783086283081 83.18668743057938 77.62225914670509 77.79808580327209
6 77.49028680127122 90.85323243939779 84.17175962033451 84.46581169677805
7 84.72218407715089 96.38402973751444 90.55310690733266 90.83668353508216
8 82.73838843275885 97.21041488646956 89.97440165961422 90.54150623226622
9 74.45195058032414 86.29222526092857 80.37208792062636 80.58541446937562
10 92.51618369313927 107.00245864246996 99.75932116780461 100.18322686266204
11 80.7480514597779 96.10066798887456 88.42435972432622 89.2496133754321
12 92.48496414535953 109.90897156537413 101.19696785536684 102.24292498313113
13 89.87294570857784 104.19634320760473 97.0346444580913 97.52861737382844
14 110.55593678957082 130.73848002957743 120.64720840957412 121.4787454962567
15 74.8140393412592 87.12886795667747 80.97145364896834 81.5801101831905
16 83.47122010024866 96.87939804108329 90.17530907066597 90.55844972939668
17 95.88917696390409 111.41466506978391 103.651921016844 104.21630266850752
18 99.45103217955878 117.83037718621505 108.6407046828869 109.92348021476015
19 74.74467216354441 87.93858155416748 81.34162685885595 82.11887799883928
20 77.94865704990835 88.85960803133105 83.4041325406197 83.43272372526201
21 93.2218062196471 108.59331831694334 100.90756226829522 101.58817840216442
22 96.29402272696343 112.55058787825263 104.42230530260804 105.54826527020573
23 109.22594510791016 126.01014782170385 117.61804646480701 118.30477882787633
24 80.20499634464788 92.65613897573958 86.43056766019373 86.53668254151913
25 83.21105317883269 98.79805079127836 91.00455198505551 91.6830575153273
26 95.33756811292545 109.84386716995598 102.59071764144072 103.14818068379536
27 82.32735752195828 94.66598492174776 88.49667122185302 88.69674668392133
28 76.33120810442871 89.99956010459334 83.16538410451102 83.87078421883295
29 82.71118086151263 96.08869308208027 89.39993697179645 89.90857136502548
30 97.7038307188431 113.16483278645094 105.43433175264701 106.16591412332939
31 80.2575497416504 98.3172574276451 89.28740358464775 90.27820589573228
32 76.13675760370111 86.54330869158053 81.34003314764082 81.54171336076878
33 87.3712868914255 102.58461090257472 94.97794889700012 95.79988198601238
34 96.50140780380033 110.64173522580145 103.5715715148009 104.05629303406866
35 88.80032384635312 102.84398498377686 95.822154415065 96.22887472526514
36 84.73016541381709 100.22411976316249 92.47714258848978 93.20647175215241
37 72.56251372413949 86.44784407072686 79.50517889743318 80.18182573583034
38 82.74408832035884 96.8993915301247 89.82173992524177 90.08163872850986
39 89.3099209294352 105.80731917250985 97.55862005097252 98.48261587413435
40 75.86630673093585 90.5130717676454 83.18968924929062 83.7287588035219
41 76.4887695248469 90.39548467872844 83.44212710178766 83.92148196426344
42 93.04268978984538 110.19079778438308 101.61674378711423 102.42872570951855
43 105.99974629749143 122.86783271192714 114.43378950470928 115.15440680420514
44 88.65471391562107 104.66973677995331 96.6622253477872 97.430998163492
45 96.15196652571814 110.63382756791337 103.39289704681576 103.95710563516236
46 81.20527241632777 95.54608967102658 88.37568104367718 89.01971801296405
47 84.65340440519817 97.74590749159866 91.19965594839842 91.49484534403157
48 74.56740455848124 87.04536687059183 80.80638571453653 81.4099013158034
49 77.80711802279913 90.99830736563173 84.40271269421544 84.85296616436426
50 98.81504305784833 113.6960583735808 106.25555071571456 106.79675125736921
51 83.70442631892021 98.97154492257671 91.33798562074847 92.10846970794046
52 78.66027788241047 92.48846992943051 85.57437390592048 85.96989938745087
53 87.97010476554728 100.83701689194751 94.4035608287474 94.82100802841809
54 98.87831775621848 113.67422603793959 106.27627189707903 106.7741902689926
55 98.5486724731217 115.33333364220826 106.94100305766497 107.83331858532082
56 76.29777412336858 89.36865525933607 82.83321469135232 83.5061583544772
57 87.4668449300535 105.69254469905903 96.57969481455626 98.00745261103698
58 91.01067332057455 106.87746496747006 98.94406914402231 99.42453114440474
59 92.54806199913634 108.74957810233589 100.6488200507361 101.44227710612923
60 92.61476950344007 107.47873059434485 100.04675004889246 100.37544544022745
61 84.41536394301701 98.37232769782058 91.39384582041879 91.74263125364696
62 77.01996085784545 88.83932373465473 82.92964229625008 83.33175273436142
63 84.01159639824252 99.97183868446128 91.9917175413519 92.43993830110489
64 81.43059597196648 93.05331516605902 87.24195556901276 87.52401624720706
65 94.61552101321946 111.50772772827858 103.06162437074903 103.79697315635826
66 86.81115705994985 101.9940450345431 94.40260104724648 94.95632891310719
67 74.33402629051862 87.22531556759499 80.7796709290568 81.3394916027834
68 76.78315185569717 91.3267828289687 84.05496734233293 84.43532920797352
69 91.14380563179667 106.60394885482786 98.87387724331226 99.50847207701955
70 101.9043902653757 118.6147406317949 110.2595654485853 110.71278605490825
71 89.29212444701297 106.03350907213986 97.66281675957642 98.71250915219169
72 80.83359412656775 90.00097548526436 85.41728480591605 85.36179885051757
73 95.13219090670374 108.40388952703154 101.76804021686763 102.1980740889793
74 96.56875936284675 111.2580790109879 103.91341918691732 104.51193696745081
75 92.85501258697936 109.15946946995471 101.00724102846704 102.02349471458628
76 79.47394061782146 92.92551860653622 86.19972961217883 86.96977298314386
77 92.52999076308204 108.95404527508215 100.7420180190821 101.51476589313634
78 86.80396020682197 101.62869871180861 94.21632945931529 94.5393667241045
79 83.85017704833578 100.07920617458574 91.96469161146075 92.42271450171285
80 81.95531739452554 98.4956457906459 90.22548159258571 90.75124948934871
81 74.58823643437 87.29108908725557 80.93966276081278 81.32920181822209
82 82.2986662278853 95.35437847970279 88.82652235379405 89.38373319693083
83 74.1879735278376 86.70669882517538 80.4473361765065 81.05154037633818
84 82.81707143968332 95.83643492215889 89.3267531809211 89.74444892529789
85 96.96561498134604 114.10278289867229 105.53419894000916 106.32239413531755
86 88.6248652421058 103.27287074875109 95.94886799542844 96.6415842485024
87 96.31804857300249 113.34382281481282 104.83093569390766 105.45909231739931
88 78.73568990804607 92.28355746533474 85.5096236866904 85.95992936698755
89 79.40184640228414 92.45313360794006 85.9274900051121 86.49453402076222
90 79.02361903746181 94.18263256938917 86.60312580342548 87.00746642200914
91 83.9662031926262 100.12378250859429 92.04499285061024 92.884838248721
92 94.62127366840124 110.45125786913646 102.53626576876886 103.18251385622315
93 76.12266499975897 87.4553675686387 81.78901628419884 82.06652045737886
94 97.34239358255806 116.53694500228241 106.93966929242023 108.27757760984008
95 93.49868038529299 110.528754291106 102.01371733819948 102.74745010374671
96 91.80304064621443 107.6217101503213 99.71237539826787 100.61404147329478
97 98.5918895296107 114.59524729453112 106.59356841207091 107.59210978446514
98 85.5268884457535 102.08255839642932 93.80472342109141 94.5843314437671
99 105.26539493652133 124.01359128140281 114.63949310896207 116.23550070685106
100 79.39038183470461 92.1420688557712 85.7662253452379 86.13763838821939
101 92.42607340511765 108.08759043429582 100.25683191970674 100.95631094135103
102 89.41406876557097 103.10237029322221 96.2582195293966 96.70838365579397
103 124.08121456983592 143.25709757337125 133.6691560716036 134.4320500626996
104 79.3986263369066 93.55265995157465 86.47564314424062 87.11985710429713
105 91.58403222902393 103.4116020432159 97.49781713611992 97.74213792175897
106 110.21430470535847 128.26481928513383 119.23956199524615 120.61062200026929
107 101.76354510197606 118.72970393923013 110.24662452060309 111.04879998553125
108 82.08141128272216 97.07836200294992 89.57988664283604 90.29756559085256
109 91.90309011321719 106.6646710216857 99.28388056745145 99.89103676167946
110 84.07398469292642 98.13548381862198 91.10473425577419 91.7305324317194
111 86.35530880401106 100.87416549350323 93.61473714875714 94.05887242481259
112 72.85884238933738 86.52305833408728 79.69095036171234 80.15023474520709
113 89.88635602421174 104.77590752904983 97.33113177663078 97.90241661375667
114 93.51584762935568 107.58933990510033 100.552593767228 100.946569405666
115 86.15426579230396 99.22746011528866 92.69086295379631 92.95504591457942
116 83.09029549183023 97.20179972904101 90.14604761043563 90.61174662030048
117 73.73550432376187 86.81420063772468 80.27485248074328 80.49999520570105
118 115.27555301013686 132.4310039173414 123.85327846373913 124.45459841838388
119 75.09094796175263 89.56844813780563 82.32969804977913 82.71053160860127
120 85.5919684992392 105.87890662180845 95.73543756052382 97.62345928680445
121 94.12790897494058 109.2121639371638 101.67003645605219 102.26065860500451
122 74.7233826593715 85.59170265558852 80.15754265748001 80.3683186293188
123 86.47882337908813 101.87755873796795 94.17819105852803 94.90052249058205
124 91.61959908436361 107.51419484232446 99.56689696334404 100.05539994883272
125 75.72480442202288 88.42153541032219 82.07316991617253 82.17150608666971
